dialogueID,nodeID,speakerID,speakerName,speakerType,emotion,text,nextNodeID,questID,rewardIDs,isFollow,conditionType,conditionValue,choice1,choice1NextNode,choice2,choice2NextNode,choice3,choice3NextNode
jiaoyi-06-1,node001,system,旁白,System,Neutral,这是中国人民大学新闻学院教学楼一楼。楼道里亮着白炽灯，空气中有淡淡的墨粉和旧书纸张的味道。背景音是远处交错的脚步声和复印机低沉的嗡鸣。,,,,FALSE,,,,,,,,,
dayin_fight_over_dialogue,node001,system,旁白,System,Neutral,这是“数据僵尸”。当点击量成为唯一的指标，当人的眼泪变成吸引观看的工具，采访本里充满了利用血肉和悲痛变为的夸张感人故事，它以一种吃人血馒头的形式把温热的叹息变成冰冷的‘多么潸然泪下的故事啊’。,node002,,,FALSE,,,,,,,,,
dayin_fight_over_dialogue,node002,system,旁白,System,Neutral,随着“数据僵尸”的消失，受害者的家属终于不再被痛苦的记忆反复敲打。要记得新闻背后那些未被讲述的，不一定是被‘遗忘’了。,,,,FALSE,,,,,,,,,
dayin-06-1,node001,system,旁白,System,Neutral,你和路薪声并肩走向位于一楼角落的打印店。路薪声从书包里掏出相机和电脑，准备导出做报道素材，以及采访笔记和报道初稿文件。,node002,,,FALSE,,,,,,,,,
dayin-06-1,node002,LuXinsheng,路薪声,Npc,Neutral,唔，还好刚刚在立德楼等你的时候都整理好了，不然要让你等好久呢！,node003,,,FALSE,,,,,,,,,
dayin-06-1,node003,LuXinsheng,路薪声,Npc,Neutral,这两只小猫的照片真有意思，上次还看到它们俩友好相处呢，这才几天就打起来了。就是这照片…光影的对比会不会太强了？我总感觉我拍的不好......,,,,FALSE,,,鼓励,node004,,,,,
dayin-06-1,node004,player,playerName,Player,Neutral,这张动态感强，光影更显生动，照片的氛围衬托得很好。,node005,,,FALSE,,,,,,,,,
dayin-06-1,node005,LuXinsheng,路薪声,Npc,Neutral,真的吗！其实我有点不太确定，我以前总感觉新闻的照片一定要非常严肃，而且不需要讲究美感呢，不过{playerName}都这么说了，我听你的！,node006,,,FALSE,,,,,,,,,
dayin-06-1,node006,player,playerName,Player,Neutral,新闻摄影照片不仅要符合规范性原则，‘求美’也是不可或缺的一环，无论是构图、光影、画质、角度等等，这些都很重要。,node007,,,FALSE,,,,,,,,,
dayin-06-1,node007,LuXinsheng,路薪声,Npc,Neutral,哇，这么说，我可要开始期待下学期的新闻摄影理论了！,node008,,,FALSE,,,,,,,,,
dayin-06-1,node008,LuXinsheng,路薪声,Npc,Neutral,啊对了！我现在还不确定现在这个作业打印出来......该是什么样式呢？我不太想就只有普通A4纸钉在一起。,node009,,,FALSE,,,,,,,,,
