dialogueID,nodeID,speakerID,speakerName,speakerType,emotion,text,nextNodeID,questID,rewardIDs,isFollow,choice1,choice1NextNode,choice2,choice2NextNode,choice3,choice3NextNode
rift_1955_dialogue,node001,system,旁白,System,Neutral,外面正下着雨。,node002,,,FALSE,,,,,,
rift_1955_dialogue,node002,system,旁白,System,Neutral,这是你记忆里1955年的老北京。灰墙胡同间弥漫着雨水侵蚀泥土的气息。时空裂缝扭曲了历史——本应汇聚燕京大学、北大新闻专业师资的“人大新闻系筹备处”陷入停滞。,node003,,,FALSE,,,,,,
rift_1955_dialogue,node003,system,旁白,System,Neutral,几名青年教师因理念争执陷入迷茫，而《人民日报》支援的干部迟迟未至。若历史偏移，新中国的新闻教育火种将就此熄灭。,node004,,,FALSE,,,,,,
rift_1955_dialogue,node004,teacher,教师,Npc,Neutral,上头说要办‘正规新闻系’，可咱们连教材都没有……难道真靠几本苏联译本糊弄学生？,node005,,,FALSE,,,,,,
rift_1955_dialogue,node005,system,旁白,System,Neutral,在你仔细辨认这张年轻的脸孔时，他的声音率先让你认出他来，这是刚从燕京大学赶来的新闻系蒋老师。,node006,,,FALSE,,,,,,
rift_1955_dialogue,node006,reporter,记者,Npc,Neutral,糊弄？前线记者带回来的战场手记不比理论强？新闻是脚跑出来的，不是编出来的！,node007,,,FALSE,,,,,,
rift_1955_dialogue,node007,system,旁白,System,Neutral,这是《大公报》外勤记者子冈女士。,node008,,,FALSE,,,,,,
rift_1955_dialogue,node008,teacher,教师,Npc,Neutral,没有理论支撑，如何从实践中领悟并学习呢？更何况我们本来也没有把战地报道当教材的先例。我们......可以教好他们吗？,node009,,,FALSE,,,,,,
rift_1955_dialogue,node009,director,主任,Npc,Neutral,《人民日报》的老邓说今天派人来，这都晌午了......没有老手坐镇，咱这摊子怎么支？,node010,,,FALSE,,,,,,
rift_1955_dialogue,node010,reporter,记者,Npc,Neutral,到底靠不靠谱啊。,node011,,,FALSE,,,,,,
rift_1955_dialogue,node011,system,旁白,System,Neutral,《人民日报》安主任卷起袖口开始抽烟，愁苦的眉毛压着疲惫的双眼。眼看大家的意志逐渐消沉，你及时打断他们。,,,,FALSE,（语言激励众人）,node012,,,,
rift_1955_dialogue,node012,player,playerName,Player,Neutral,在座的各位同志都是啃过洋墨水、滚过战壕的。我们现在该担心的不是办学之后新闻系的教学内容和质量，而是别忘了让大家学习新闻知识的初衷。,node013,,,FALSE,,,,,,
rift_1955_dialogue,node013,player,playerName,Player,Neutral,现在的新闻工作不能够跟上当前的形势发展了，时代需要更多学习新闻的人才，如果我们齐心协力办好新闻系，授予他们知识，或许有一天能让他们相信新闻其实可以改变一个时代。,,,,FALSE,（展示泛黄的记者证）,node014,,,,
rift_1955_dialogue,node014,player,playerName,Player,Neutral,我曾经在战壕里写稿时，总是会带着《新闻学概论》和一本浸透泥土的采访本。每当我想要用理论知识解决问题，群众朴实的语言和现实的体会总是能让我学会更多书本上没有的知识。,node015,,,FALSE,,,,,,
rift_1955_dialogue,node015,player,playerName,Player,Neutral,时代的需要和人民的声音构成了我所崇敬的新闻理想，或许理论教会我们“怎么问”，但只有实践能够教会“为谁问”。,node016,,,FALSE,,,,,,
rift_1955_dialogue,node016,player,playerName,Player,Neutral,各位也不必怀疑我们能付出的一切，如果连我们都怀疑自己能教什么，学生又怎么相信新闻能改变时代呢？,node017,,,FALSE,,,,,,
