﻿dialogueID,nodeID,speakerID,speakerName,speakerType,emotion,text,nextNodeID,questID,rewardIDs,isFollow,conditionType,conditionValue,choice1,choice1NextNode,choice2,choice2NextNode,choice3,choice3NextNode
lide_dialogue,node001,LuXinsheng,路薪声,Npc,SmileCamera,怎么啦？,,,,FALSE,,,这是你们的宿舍楼吗？,node002,这是什么年代的建筑？,node003,,
lide_dialogue,node002,player,playerName,Player,Neutral,这是你们的宿舍楼吗？,node004,,,FALSE,,,,,,,,
lide_dialogue,node003,player,playerName,Player,Neutral,这是什么年代的建筑？,node004,,,FALSE,,,,,,,,
lide_dialogue,node004,LuXinsheng,路薪声,Npc,SmileCamera,"这是我们学校其中一栋宿舍楼，名字是""东风夜放花千树""的""东风""。",node005,,,FALSE,,,,,,,,
lide_dialogue,node005,LuXinsheng,路薪声,Npc,SmileCamera,如果能换成上床下桌的话就好了......（小声）,node006,,,FALSE,,,,,,,,
lide_dialogue,node006,LuXinsheng,路薪声,Npc,Happy,今天也多带你逛一逛校园吧，如果留意到校园里发生的有趣新闻麻烦（玩家id）提醒我哦！,node007,,,FALSE,,,,,,,,
lide_dialogue,node007,system,旁白,System,Neutral,进入游戏教学：在游戏场景里如遇黄色感叹号，点击查看记录事件，事件会自动保存收录进“Ruc一日新闻素材库”功能里。,,,,TRUE,,,,,,,,
lide_fight_over_dialogue,node001,system,旁白,System,Neutral,破碎的残骸化作铅字雨坠落，你伸手接住一枚「……」，发现它正在慢慢舒展成完整的句子。路薪声下意识举起相机对焦画面——取景框里，那些曾被这些怪物啃食的文档正从边缘渗出墨迹，和残骸慢慢合成完整的段落。,node002,,,FALSE,,,,,,,,
lide_fight_over_dialogue,node002,system,旁白,System,Neutral,就仿佛有一支看不见的钢笔在重述真相。,,,,FALSE,,,,,,,,
fang_dialogue,node001,LuXinsheng,路薪声,Npc,NeutralCamera,方老师怎么在这里！......我们静悄悄走开吧，我不太擅长和老师打交道。,node002,,,FALSE,,,,,,,,
fang_dialogue,node002,FangHuaigu,方怀古,Npc,Neutral,这位同学，请留步。,node003,,,FALSE,,,,,,,,
fang_dialogue,node003,player,playerName,Player,Neutral,（抓住假装没听见然后溜走的路薪声）,node004,,,FALSE,,,,,,,,
fang_dialogue,node004,LuXinsheng,路薪声,Npc,SurprisedCamera,完辣！是不是上次睡过头所以迟到了十五分钟被老师记住了，还是上周老师为了回我问题直接给我打微信电话结果我给挂断了......,node005,,,FALSE,,,,,,,,
fang_dialogue,node005,FangHuaigu,方怀古,Npc,Neutral,早啊，原来你们在这里.......小路，我还没跟这位老朋友好好聊聊呢，你们倒先聊起来了？,node006,,,FALSE,,,,,,,,
fang_dialogue,node006,LuXinsheng,路薪声,Npc,SurprisedCamera,哎，你们认识？,node007,,,TRUE,,,,,,,,
fang_dialogue,node007,player,playerName,Player,Neutral,我们认识？,node008,,,FALSE,,,,,,,,
fang_dialogue,node008,FangHuaigu,方怀古,Npc,Neutral,我是新闻学院的老师，我观察到最近学校里出现了一些奇异现象，特来现场勘察。没想到在这里碰见了你和小路。,node009,,,FALSE,,,,,,,,
fang_dialogue,node009,FangHuaigu,方怀古,Npc,Neutral,看来......这一系列发生的事情或许和你有关。如果有些信息你不记得了，我会告诉你我所知道的。,node010,,,FALSE,,,,,,,,
fang_dialogue,node010,FangHuaigu,方怀古,Npc,Neutral,你尽管询问我，但我可不保证真实性。,,,,FALSE,,,我是谁？,node011,外面游荡的怪物是怎么回事？,node013,我现在需要做什么？,node017
fang_dialogue,node011,player,playerName,Player,Neutral,我是谁？,node012,,,FALSE,,,,,,,,
fang_dialogue,node012,FangHuaigu,方怀古,Npc,Neutral,你连这个都不记得了？...曾经说过自己是《院史年鉴》活体索引的你同时也是在书里寄宿的精灵守卫。,node010,,,FALSE,,,,,,,,
fang_dialogue,node013,player,playerName,Player,Neutral,外面游荡的怪物是怎么回事？,node014,,,FALSE,,,,,,,,
fang_dialogue,node014,FangHuaigu,方怀古,Npc,Neutral,或许是因为你的今天现身在这里，《院史年鉴》里的力量出现了波动影响了现实世界。,node015,,,FALSE,,,,,,,,
fang_dialogue,node015,FangHuaigu,方怀古,Npc,Neutral,任何对新闻精神有消极作用的事件和意志会变成实体化的干扰源。路薪声也受到了你的影响，现在只有我们几个才会看到干扰源实体。,node016,,,FALSE,,,,,,,,
fang_dialogue,node016,FangHuaigu,方怀古,Npc,Neutral,"就像你刚刚击败的怪物""语境剥离者""，他们擅长把真相轻易地扭曲，会影响新闻报道编写的进步......现在正需要有人以战斗的形式消灭它们。",node010,,,FALSE,,,,,,,,
fang_dialogue,node017,player,playerName,Player,Neutral,我现在需要做什么？,node018,,,FALSE,,,,,,,,
fang_dialogue,node018,FangHuaigu,方怀古,Npc,Neutral,这正是我今天找你们要说的要事。,node019,,,FALSE,,,,,,,,
fang_dialogue,node019,FangHuaigu,方怀古,Npc,Neutral,我发现校园有一些角落出现了时空裂缝，或许是《院史年鉴》里的力量出现了波动，过去的历史出现了被篡改的痕迹，而这大概率也是那些怪物出现的根源。,node020,,,FALSE,,,,,,,,
fang_dialogue,node020,LuXinsheng,路薪声,Npc,SurprisedCamera,时空裂缝...?,node021,,,FALSE,,,,,,,,
fang_dialogue,node021,FangHuaigu,方怀古,Npc,Neutral,"现在我们紧急需要一个意志强大、有新闻精神的能手前去解决这件事情.......这次可不是什么轻松的任务,只能拜托你了，我们之中只有你可以做到。",,,,FALSE,,,接受任务,node022,,,,
fang_dialogue,node022,player,playerName,Player,Neutral,哼......,,find_lide_event,,FALSE,,,,,,,,
