dialogueID,nodeID,speakerID,speakerName,speakerType,emotion,text,nextNodeID,questID,rewardIDs,isFollow,choice1,choice1NextNode,choice2,choice2NextNode,choice3,choice3NextNode
lide_dialogue,node001,LuXinsheng,路薪声,Npc,Smile,怎么啦？,,,,FALSE,你们住的宿舍楼有一种沉淀的历史感。,node002,这么破旧的吗,node003,,
lide_dialogue,node002,player,playerName,Player,Neutral,你们住的宿舍楼有一种沉淀的历史感。,node004,,,FALSE,,,,,,
lide_dialogue,node003,player,playerName,Player,Neutral,这么破旧的吗,node004,,,FALSE,,,,,,
lide_dialogue,node004,LuXinsheng,路薪声,Npc,Smile,"这是我们学校其中一栋宿舍楼，名字是""东风夜放花千树""的""东风""。虽然名字很气派，不过我们学校能跟它媲美的老建筑不多了......",node005,,,FALSE,,,,,,
lide_dialogue,node005,LuXinsheng,路薪声,Npc,Smile,不过我倒是挺喜欢这里的，虽然我跟大家总是调侃宿舍太破了以至于很难生存哈哈哈哈！,node006,,,FALSE,,,,,,
lide_dialogue,node006,LuXinsheng,路薪声,Npc,2,如果能换成上床下桌的话就好了......（小声）,node007,,,FALSE,,,,,,
lide_dialogue,node007,LuXinsheng,路薪声,Npc,Happy,今天也多带你逛一逛校园吧，如果留意到校园里发生的有趣新闻麻烦（玩家id）提醒我哦！,,,,TRUE,,,,,,
lide_fight_over_dialogue,node001,system,旁白,System,Neutral,破碎的残骸化作铅字雨坠落，你伸手接住一枚「……」，发现它正在慢慢舒展成完整的句子。路薪声下意识举起相机对焦画面——取景框里，那些曾被这些怪物啃食的文档正从边缘渗出墨迹，和残骸慢慢合成完整的段落。,node002,,,FALSE,,,,,,
lide_fight_over_dialogue,node002,system,旁白,System,Neutral,就仿佛有一支看不见的钢笔在重述真相。,,,,FALSE,,,,,,
fang_dialogue,node001,LuXinsheng,路薪声,Npc,Neutral,方老师怎么在这里！......我们静悄悄走开吧，我不太擅长和老师打交道。,node002,,,FALSE,,,,,,
fang_dialogue,node002,FangHuaigu,???,Npc,Neutral,这位同学，请留步。,node003,,,FALSE,,,,,,
fang_dialogue,node003,player,playerName,Player,Neutral,（抓住假装没听见然后溜走的路薪声）,node004,,,FALSE,,,,,,
fang_dialogue,node004,LuXinsheng,路薪声,Npc,Surprised,完damn辣！是不是上次睡过头所以迟到了十五分钟被老师记住了，还是上周老师为了回我问题直接给我打微信电话结果我给挂断了......,node005,,,FALSE,,,,,,
fang_dialogue,node005,FangHuaigu,???,Npc,Neutral,早安，原来你们在这里.......小路，我还没跟这位老朋友叙旧呢，你们已经先行聊上了吗？,node006,,,FALSE,,,,,,
fang_dialogue,node006,LuXinsheng,路薪声,Npc,Surprised,哎！？？你们认识？,node007,,,TRUE,,,,,,
fang_dialogue,node007,player,playerName,Player,Neutral,我们认识？,node008,,,FALSE,,,,,,
fang_dialogue,node008,FangHuaigu,方怀古,Npc,Neutral,我是中国人民大学新闻学院的老师，我观察到最近学校里出现了一些奇异现象，特来现场勘察。没想到在这里碰见了你和小路。,node009,,,FALSE,,,,,,
fang_dialogue,node009,FangHuaigu,方怀古,Npc,Neutral,看来......这一系列发生的事情或许和你有关。曾经的事情你或许不记得了，无妨。记性这东西，本就像漏墨的钢笔。不过好在——我会告诉你我所知道的所有信息，你尽管询问我，或许可以帮助你回忆起一二。,,,,FALSE,我是谁？,node010,外面游荡的怪物是怎么回事？,node012,我现在需要做什么？,node015
fang_dialogue,node010,player,playerName,Player,Neutral,我是谁？,node011,,,FALSE,,,,,,
fang_dialogue,node011,FangHuaigu,方怀古,Npc,Neutral,你曾经总说自己是《院史年鉴》的活体索引，同时你也是在《院史年鉴》一书里寄宿的精灵守卫，你为了保护好我们伟大新闻事业的历史，你牺牲了自己近百年的时间去守卫这本厚重的史书。,node015,,,FALSE,,,,,,
fang_dialogue,node012,player,playerName,Player,Neutral,外面游荡的怪物是怎么回事？,node013,,,FALSE,,,,,,
fang_dialogue,node013,FangHuaigu,方怀古,Npc,Neutral,或许是因为你的今天现身在这里，《院史年鉴》里的力量出现了波动影响了现实世界。任何对新闻精神有消极作用的事件和意志会变成实体化的干扰源。,node014,,,FALSE,,,,,,
fang_dialogue,node014,FangHuaigu,方怀古,Npc,Neutral,"就像你刚刚击败的怪物""语境剥离者""，他们擅长把真相轻易地扭曲。而这些怪物不仅仅只会影响新闻报道编写的进步......现在正需要有人以战斗的形式消灭它们。",node015,,,FALSE,,,,,,
fang_dialogue,node015,player,playerName,Player,Neutral,我现在需要做什么？,node016,,,FALSE,,,,,,
fang_dialogue,node016,FangHuaigu,方怀古,Npc,Neutral,这正是我今天找你们要说的要事。我发现校园有一些角落出现了时空裂缝，或许是《院史年鉴》里的力量出现了波动，过去的历史出现了被篡改的痕迹，而这大概率也是那些怪物出现的根源。,node017,,,FALSE,,,,,,
fang_dialogue,node017,FangHuaigu,方怀古,Npc,Neutral,"现在我们紧急需要一个意志强大、有新闻精神的能手前去解决这件事情.......蜷在书页间当精灵守卫的日子——该有七十年没晒过真正的阳光了吧？不过这次可不是什么轻松的任务,拜托你了。",node018,,,FALSE,,,,,,
fang_dialogue,node018,system,旁白,System,Neutral,方怀古教授看着你，虽然他什么也没做，但你感觉有人在你的肩膀上轻轻压了一下。他好像还想说什么，但是最终没有说出口。,,find_lide_event,,FALSE,,,,,,
stone_dialogue,node001,system,旁白,System,Neutral,介绍门口实事求是石,,,,FALSE,,,,,,
