dialogueID,nodeID,speakerID,speakerName,speakerType,emotion,text,nextNodeID,questID,rewardIDs,isFollow,conditionType,conditionValue,choice1,choice1NextNode,choice2,choice2NextNode,choice3,choice3NextNode
lide-05-1,node001,npc,路薪声,Npc,Neutral,{playerName}！你一个人在里面没事吧?这个裂缝里有什么大boss吗？里面是不是很黑很吓人啊，天呐！！,node002,,,FALSE,,,,,,,,,
lide-05-1,node002,player,playerName,Player,Neutral,小路，我没事......,node003,,,FALSE,,,,,,,,,
lide-05-1,node003,FangHuaigu,方怀古,Npc,Neutral,你一下问这么多问题，她怎么回答你。,node004,,,FALSE,,,,,,,,,
lide-05-1,node004,FangHuaigu,方怀古,Npc,Neutral,看来这个时空裂缝真的修复了，多亏了你，过去被篡改的历史正在一点点修正，辛苦了{playerName}。,,,,FALSE,,,我总感觉事情没有这么简单。,node005,,,,,
lide-05-1,node005,FangHuaigu,方怀古,Npc,Neutral,其实关于这一系列的事情，我有看过相关的预言，不过那是很遥远的事情了。,node006,,,FALSE,,,,,,,,,
lide-05-1,node006,FangHuaigu,方怀古,Npc,Neutral,我的建议是可以去学校的藏书馆看看，我记得那里刚好有一位先知或许可以给我们实质性的帮助。,node007,,,FALSE,,,,,,,,,
lide-05-1,node007,FangHuaigu,方怀古,Npc,Neutral,有人曾经和我说过，如果一定要说找一个对我校的新闻和历史无知不晓的先知，或许只有‘她’了。,node008,,,FALSE,,,,,,,,,
lide-05-1,node008,npc,路薪声,Npc,Neutral,听上去很厉害的程度呀，那么‘她’是谁呢？,node009,,,FALSE,,,,,,,,,
lide-05-1,node009,FangHuaigu,方怀古,Npc,Neutral,我也只是曾经听这位老朋友说的，真要说的话应该是{playerName}更了解吧。,node010,,,FALSE,,,,,,,,,
lide-05-1,node010,player,playerName,Player,Neutral,我不记得了。,node011,,,FALSE,,,,,,,,,
lide-05-1,node011,system,旁白,System,Neutral,众人诡异的安静了一瞬，但是恰好有人的肚子在这个时候响起来了。,node012,,,FALSE,,,,,,,,,
lide-05-1,node012,system,旁白,System,Neutral,咕——,node013,,,FALSE,,,,,,,,,
lide-05-1,node013,npc,路薪声,Npc,Neutral,哎呀。,node014,,,FALSE,,,,,,,,,
lide-05-1,node014,npc,路薪声,Npc,Neutral,嗯......要不我们先去吃个饭吧，{playerName}还没有尝过我们学校食堂的饭菜呢！她为了校园安全做了这么多的事情，是时候犒劳一下了。,node015,,,FALSE,,,,,,,,,
lide-05-1,node015,npc,路薪声,Npc,Neutral,{playerName}，要不要猜猜方老师最喜欢哪个食堂？,node016,,,FALSE,,,,,,,,,
lide-05-1,node016,FangHuaigu,方怀古,Npc,Neutral,......后面有必要我会来找你们的，你们先行一步吧。,,,,FALSE,,,,,,,,,
,,,,,,,这里对话结束直接切换到下一个场景,,,,,,,,,,,,
